date,precipitation_mm,trip_count,month
2025-03-14,0.0,141470,3
2025-03-29,4.7999997,161894,3
2025-03-05,41.299995,142292,3
2025-04-14,0.0,98163,4
2025-04-15,2.1,120209,4
2025-04-20,0.0,114073,4
2025-04-23,0.0,133198,4
2025-04-26,14.3,156389,4
2025-01-28,0.0,112804,1
2025-01-31,8.999999,129388,1
2025-02-01,1.0,148495,2
2025-02-08,8.5,145768,2
2025-02-24,0.0,96327,2
2025-05-22,23.099997,157295,5
2025-06-02,0.0,111212,6
2025-07-20,1.1,121871,7
2025-07-05,0.0,93408,7
2025-07-08,13.8,127846,7
2025-08-16,3.3000002,119462,8
2025-11-06,0.0,154120,11
2025-11-24,0.0,117392,11
2025-11-04,0.0,129583,11
2025-12-16,0.0,121042,12
2025-12-10,3.0,129409,12
2025-12-26,7.5,72841,12
2025-12-23,3.4,90421,12
2025-01-01,1.1,89526,1
2025-01-03,0.0,90998,1
2025-01-10,0.0,110185,1
2025-01-26,0.0,101993,1
2025-02-09,4.0,122933,2
2025-02-06,9.7,124552,2
2025-02-26,0.2,127114,2
2025-06-28,0.5,140164,6
2025-06-14,4.6999993,143863,6
2025-07-31,10.199999,135246,7
2025-10-31,0.0,163771,10
2025-11-17,0.1,126373,11
2025-09-17,3.9999998,145814,9
2025-09-01,0.0,96454,9
2025-07-21,0.0,108195,7
2025-08-02,0.0,126605,8
2025-08-03,0.0,109272,8
2025-11-14,0.0,150595,11
2025-10-12,15.999999,127444,10
2025-03-10,0.0,103909,3
2025-03-21,3.8,131561,3
2025-03-22,0.1,140992,3
2025-04-19,0.5,132498,4
2025-04-24,0.0,144788,4
2025-04-25,0.0,143738,4
2025-05-09,16.1,156655,5
2025-01-19,8.4,117884,1
2025-02-21,0.0,131064,2
2025-05-23,1.8000003,131709,5
2025-05-14,25.500002,156769,5
2025-05-28,11.0,150577,5
2025-06-03,0.0,136559,6
2025-07-18,0.0,123632,7
2025-07-26,0.0,138496,7
2025-08-06,0.90000004,123248,8
2025-08-12,0.0,111238,8
2025-08-15,0.0,114054,8
2025-09-14,0.0,142704,9
2025-09-27,0.4,160956,9
2025-09-10,3.2,147399,9
2025-10-15,0.0,141801,10
2025-10-21,1.0,133290,10
2025-10-05,0.0,124352,10
2025-11-19,3.6,148435,11
2025-12-02,17.1,115296,12
2025-12-03,0.0,121623,12
2025-12-14,10.8,154601,12
2025-12-13,0.90000004,151504,12
2025-12-21,0.0,126778,12
2025-12-17,0.0,122882,12
2025-12-15,0.0,130010,12
2025-12-27,4.4999995,83708,12
2025-01-17,0.0,118502,1
2025-02-12,3.9999998,126561,2
2025-06-29,0.0,127419,6
2025-08-24,0.2,110508,8
2025-08-27,0.1,110314,8
2025-05-19,0.0,131935,5
2025-06-23,0.0,136106,6
2025-06-27,1.4,133426,6
2025-10-10,0.0,150485,10
2025-07-14,23.100002,129701,7
2025-07-16,1.9,139335,7
2025-08-22,0.0,110156,8
2025-09-22,0.0,116109,9
2025-10-24,0.0,149360,10
2025-03-08,0.0,146886,3
2025-03-06,0.2,143171,3
2025-03-15,0.5,151805,3
2025-03-20,15.000001,150110,3
2025-03-27,0.0,140210,3
2025-03-30,0.4,135456,3
2025-04-07,8.1,114322,4
2025-04-08,0.0,129677,4
2025-04-12,14.799999,148119,4
2025-04-18,0.1,122709,4
2025-04-21,0.3,105878,4
2025-05-03,11.5,161681,5
2025-01-29,0.0,119213,1
2025-02-15,8.0,148079,2
2025-02-28,0.0,144962,2
2025-02-23,0.0,108530,2
2025-05-17,1.9000001,176173,5
2025-05-30,7.7999997,142132,5
2025-06-19,9.1,137924,6
2025-06-25,0.4,151587,6
2025-06-04,0.0,152632,6
2025-06-18,9.3,151243,6
2025-07-04,0.0,86812,7
2025-07-25,4.2000003,131303,7
2025-07-06,0.0,94665,7
2025-08-05,0.2,114046,8
2025-08-13,5.8,128531,8
2025-08-18,0.0,92606,8
2025-08-19,0.0,104336,8
2025-09-04,5.6,145918,9
2025-09-21,0.0,135756,9
2025-10-07,0.0,130636,10
2025-10-22,2.1999998,142928,10
2025-10-06,0.0,117034,10
2025-12-12,0.0,146886,12
2025-12-06,0.3,141730,12
2025-12-01,0.0,105419,12
2025-12-28,0.90000004,86686,12
2025-01-04,0.0,97734,1
2025-01-22,0.0,125388,1
2025-01-24,0.0,126794,1
2025-02-10,0.0,107307,2
2025-06-16,6.8,116759,6
2025-07-29,0.0,133932,7
2025-08-09,0.0,113168,8
2025-08-07,0.3,118005,8
2025-08-31,0.0,109740,8
2025-09-08,0.0,120796,9
2025-11-16,0.1,133760,11
2025-05-21,2.8999994,159845,5
2025-06-24,0.0,150525,6
2025-10-23,0.0,155182,10
2025-11-26,1.5,118953,11
2025-10-13,30.799997,110197,10
2025-03-12,0.0,136520,3
2025-03-18,0.0,122978,3
2025-03-19,0.0,126210,3
2025-03-25,0.0,118237,3
2025-03-02,0.0,128166,3
2025-04-03,2.8999996,136079,4
2025-04-04,6.8999996,132666,4
2025-05-02,2.1,142574,5
2025-05-05,12.900002,131660,5
2025-05-08,1.4000001,159888,5
2025-05-10,0.0,157087,5
2025-01-07,0.0,100198,1
2025-01-27,0.0,92634,1
2025-05-12,0.0,125058,5
2025-06-01,0.0,129420,6
2025-08-20,3.6000001,127427,8
2025-08-28,0.0,112722,8
2025-09-13,0.1,163545,9
2025-09-11,0.0,149812,9
2025-10-09,0.0,156631,10
2025-10-26,0.0,123955,10
2025-11-05,1.0,138737,11
2025-11-23,0.0,124243,11
2025-11-03,0.0,126193,11
2025-11-21,0.0,148047,11
2025-12-11,0.0,132677,12
2025-12-07,0.0,142346,12
2025-12-05,0.0,139729,12
2025-12-04,0.1,123928,12
2025-01-05,0.0,79396,1
2025-01-15,0.0,124102,1
2025-02-05,0.0,126481,2
2025-07-02,1.7000002,108951,7
2025-07-09,2.7,132040,7
2025-07-30,2.6,137148,7
2025-08-01,1.4000001,118639,8
2025-11-28,0.0,98411,11
2025-05-20,0.0,147273,5
2025-06-08,1.8000001,137289,6
2025-06-10,21.6,137230,6
2025-06-21,0.0,154502,6
2025-09-24,4.8,131621,9
2025-09-02,0.0,115421,9
2025-10-16,0.0,155508,10
2025-10-18,0.0,149253,10
2025-10-19,0.0,135609,10
2025-03-13,0.0,153140,3
2025-03-23,0.0,119845,3
2025-03-03,0.0,109518,3
2025-04-06,4.3999996,121860,4
2025-04-27,0.0,139630,4
2025-04-28,0.0,107977,4
2025-04-30,0.0,136940,4
2025-05-04,11.299999,140535,5
2025-01-11,1.9000001,121721,1
2025-01-20,0.2,89759,1
2025-02-07,0.0,134773,2
2025-02-14,0.0,152851,2
2025-02-20,0.9000001,139226,2
2025-02-25,0.0,114376,2
2025-06-20,0.3,134813,6
2025-06-26,0.0,147246,6
2025-07-07,4.6,100021,7
2025-09-20,0.0,155714,9
2025-09-12,0.0,154273,9
2025-10-08,6.9,144619,10
2025-10-28,0.0,133090,10
2025-11-18,0.0,139383,11
2025-11-22,5.6999993,151650,11
2025-12-25,0.0,51851,12
2025-12-20,0.0,130835,12
2025-12-24,0.0,75341,12
2025-01-08,0.0,112839,1
2025-01-18,2.2,119441,1
2025-02-16,19.6,113230,2
2025-05-26,0.0,97182,5
2025-07-10,13.4,125157,7
2025-07-17,7.7999997,142509,7
2025-08-08,0.0,111554,8
2025-10-02,0.0,127894,10
2025-10-03,0.0,137402,10
2025-10-30,42.199997,158154,10
2025-11-07,0.0,143754,11
2025-11-15,4.4,159790,11
2025-06-22,0.2,133325,6
2025-09-18,0.1,155761,9
2025-09-03,0.0,128209,9
2025-10-17,0.0,147044,10
2025-11-10,13.099999,129039,11
2025-11-11,0.6,129325,11
2025-07-15,1.8000001,129342,7
2025-07-28,0.0,117407,7
2025-08-14,2.1999998,119406,8
2025-08-25,0.0,96375,8
2025-08-26,0.0,104849,8
2025-09-05,2.5,141595,9
2025-03-09,0.0,116526,3
2025-03-24,13.0,109026,3
2025-04-01,4.5,127105,4
2025-03-01,0.0,163665,3
2025-04-05,3.3,152108,4
2025-04-09,0.0,135720,4
2025-04-11,13.099999,150358,4
2025-04-16,0.0,131617,4
2025-04-17,0.0,132471,4
2025-04-22,0.1,122578,4
2025-05-01,0.0,152627,5
2025-05-06,18.300001,140703,5
2025-05-07,0.2,145043,5
2025-01-12,0.0,102159,1
2025-05-16,0.5,157153,5
2025-05-29,1.9000001,144456,5
2025-07-19,0.0,134776,7
2025-09-09,0.0,136472,9
2025-10-14,0.4,135014,10
2025-12-19,25.4,136190,12
2025-12-31,0.0,84802,12
2025-12-30,0.0,81691,12
2025-12-18,0.0,127699,12
2025-01-09,0.0,118089,1
2025-01-13,0.0,99633,1
2025-02-04,0.0,118632,2
2025-05-25,0.0,112136,5
2025-05-24,0.4,118571,5
2025-06-15,5.4999995,122946,6
2025-09-25,50.900005,147733,9
2025-11-25,13.1,139286,11
2025-11-27,0.0,95414,11
2025-11-09,0.3,130530,11
2025-07-13,0.1,116896,7
2025-09-28,0.7,135418,9
2025-11-01,0.0,179545,11
2025-03-11,0.0,124028,3
2025-03-16,0.90000004,117884,3
2025-03-17,26.400002,110762,3
2025-03-26,0.1,129568,3
2025-03-04,0.0,123411,3
2025-04-02,0.0,135079,4
2025-04-10,0.70000005,144379,4
2025-04-13,0.0,108581,4
2025-04-29,0.0,123974,4
2025-01-06,1.6,80105,1
2025-01-30,0.0,130607,1
2025-02-03,0.0,97817,2
2025-05-31,21.500002,150908,5
2025-05-11,0.0,145305,5
2025-05-13,4.7,146812,5
2025-06-06,0.6,155288,6
2025-06-07,6.7,160758,6
2025-06-13,0.0,141007,6
2025-06-05,0.0,169746,6
2025-06-17,9.5,132325,6
2025-07-03,1.0,101357,7
2025-07-11,0.8,120000,7
2025-07-12,0.1,134101,7
2025-07-24,0.0,130059,7
2025-08-21,0.1,111853,8
2025-08-29,0.0,109777,8
2025-09-19,0.0,149550,9
2025-09-30,0.0,135758,9
2025-10-25,0.0,153599,10
2025-10-29,0.0,140746,10
2025-12-22,0.0,106406,12
2025-11-30,2.8000002,109320,11
2025-01-02,0.0,84693,1
2025-01-23,0.0,135288,1
2025-02-13,5.9999995,139546,2
2025-02-18,0.0,115567,2
2025-02-27,1.9000001,141174,2
2025-05-18,0.3,141221,5
2025-06-30,0.4,109274,6
2025-07-01,11.5,126468,7
2025-08-23,0.0,124841,8
2025-08-30,0.0,115388,8
2025-09-06,23.699999,145318,9
2025-09-07,21.0,126354,9
2025-10-04,0.0,144918,10
2025-11-13,0.2,152102,11
2025-05-15,1.2,162472,5
2025-06-11,0.0,146938,6
2025-07-22,0.0,119589,7
2025-07-23,0.0,126516,7
2025-07-27,5.5,116996,7
2025-09-16,0.0,139379,9
2025-03-07,0.0,133899,3
2025-03-28,0.4,133483,3
2025-03-31,38.0,113176,3
2025-01-21,0.3,116003,1
2025-02-02,2.2,123234,2
2025-02-22,0.0,141311,2
2025-05-27,0.0,121106,5
2025-06-12,0.1,160555,6
2025-08-17,3.5,113409,8
2025-09-26,0.0,149266,9
2025-09-29,0.0,120713,9
2025-10-01,0.0,130959,10
2025-10-27,0.0,119845,10
2025-11-12,0.1,138625,11
2025-11-02,0.0,147570,11
2025-11-20,0.0,155008,11
2025-12-08,0.0,122002,12
2025-12-09,0.0,122050,12
2025-12-29,3.8000002,81277,12
2025-01-14,0.0,120100,1
2025-01-16,0.4,135141,1
2025-01-25,0.0,136574,1
2025-02-11,1.8,123814,2
2025-02-17,0.0,94339,2
2025-02-19,0.0,121893,2
2025-08-04,0.0,102059,8
2025-10-20,6.999999,114839,10
2025-11-29,0.0,112730,11
2025-06-09,5.2999997,124810,6
2025-11-08,6.2,150961,11
2025-08-10,0.0,101085,8
2025-08-11,0.0,96900,8
2025-09-15,0.0,125464,9
2025-09-23,9.3,113145,9
2025-10-11,1.2,151494,10
